Sample,Day0,Day1
"s1","1","3"
"s2","1","3"
"s3","1","3"
"s4","1","1"
"s5","1","1"
"s6","1","1"
"s7","1","2"
"s8","1","2"
"s9","1","2"
"s10","2","3"
"s11","2","3"
"s12","2","3"
"s13","2","1"
"s14","2","1"
"s15","2","1"
"s16","2","2"
"s17","2","2"
"s18","2","2"
"s19","3","3"
"s20","3","3"
"s21","3","3"
"s22","3","1"
"s23","3","1"
"s24","3","1"
"s25","3","2"
"s26","3","2"
"s27","3","2"
"s28","4","3"
"s29","4","3"
"s30","4","3"
"s31","4","1"
"s32","4","1"
"s33","4","1"
"s34","4","2"
"s35","4","2"
"s36","4","2"
"s37","5","3"
"s38","5","3"
"s39","5","3"
"s40","5","1"
"s41","5","1"
"s42","5","1"
"s43","5","2"
"s44","5","2"
"s45","5","2"
